index,성분명,임부금기(등급),비고,허가사항,,,,,,,,,,,,,,,
787,BCG Strain Tice,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
788,Mifamurtide,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
789,Levosulpiride,2등급,,임신 중 투여에 대한 안전성 미확립. 동물실험에서 태자에 대한 기형발생의 위험이 있는 것으로 보고됨.,,,,,,,,,,,,,,,
790,Somatostatin,2등급,,임부에 대한 안전성 미확립. 전임상 시험에서 토끼에 0.2mg/kg/일 이상 투여했을 때 초기 배자 발달을 저해함. 분만 중인 암컷에 대한 연구에서 소마토스타틴(500 μg을 30분 이상의 시간동안 주입)이 태반 벽을 통과하여 태자의 성장호르몬 및 갑상샘 자극 호르몬에 영향을 줄 수 있다고 나타남.,,,,,,,,,,,,,,,
791,Somatropin,2등급,,임신 중 투여에 대한 안전성 미확립.,,,,,,,,,,,,,,,
792,Teriparatide,2등급,,"(주사제) 토끼를 이용한 정맥 내 투여에 의한 기관 형성기 투여 시험에서 태아독성(태아 사망)이 인정됨.
(프리필드펜) 토끼 연구에서 생식 독성이 나타남. 사람에 대한 잠재적인 위험성은 알려지지 않음. 가임 여성은 이 약을 사용하는 동안 효과적인 피임법을 사용해야 하며, 임신이 되는 경우 이 약의 투여를 중단해야 함.",,,,,,,,,,,,,,,
793,Prednisone,2등급,,"임신 중에 글루코코르티코이드를 투여한 모체에서 태어난 신생아의 경우 부신부전증을 일으킬 수 있음. 
동물실험에서 기형발생 작용이 보고되어 있으며 태아의 성장지체, 구순구개열의 위험 등의 증가, 태아의 뇌성장 및 발달에도 영향을 줄 수 있음.",,,,,,,,,,,,,,,
794,Promestriene,2등급,"질좌제, 질크림제 포함",사람과 동물실험에서 태아 및 태자독성이 나타남.,,,,,,,,,,,,,,,
795,Tolterodine,2등급,,"임부 치료에 대한 임상경험은 없음. 임신한 마우스에서의 시험은 고용량이 태자 체중 감소, 배자치사(embryolethality) 및 태자의 기형 발생률 증가를 일으킨 것으로 나타남.",,,,,,,,,,,,,,,
796,Lindane,2등급,"크림제, 로션제, 외용액제(샴푸제) 포함",-,,,,,,,,,,,,,,,
797,Alfatradiol,2등급,외용액제 포함,사람이나 동물에 대한 적절한 연구결과가 없음.,,,,,,,,,,,,,,,
798,Eculizumab,2등급,,"임부에 대한 안전성 미확립
잠재적으로 태아의 순환혈에서 말단 보체 차단 초래 가능
동물실험에서 새끼의 발달 이상 비율 증가, 사망 또는 죽어가는 새끼 비율 증가",,,,,,,,,,,,,,,
799,"Human papillomavirus(types 6, 11, 16, 18, 31, 33, 45, 52, 58) L1 protein",2등급,,"임부에 대한 안전성 미확립
사람에서의 반응을 예측하기는 어려우므로, 이 백신 접종 중 임신은 가급적 피할 것",,,,,,,,,,,,,,,
800,Elbasvir+Grazoprevir,2등급,,임부에 대한 안전성 미확립,,,,,,,,,,,,,,,
801,Rupatadine fumarate,2등급,,임부에 대한 안전성 미확립,,,,,,,,,,,,,,,
802,Apremilast,1등급,,"임부에 대한 안전성 미확립
동물실험에서 배태자 소실, 태아 체중 감소, 골화 지연 보고
생식력 및 초기 배자 발달 시험에서 발정주기의 연장 및 짝짓기까지의 시간 증가 관찰됨
배태자 발달 시험에서 심장의 절대 중량 및/또는 상대 중량 증가, 초기 재흡수의 수적 증가, 골화부골의 수적 감소, 태자 체중 감소, 두개골의 후두상부뼈의 골화 지연 관찰됨
출생 전후 발달 시험에서 모체 체중감소, 체중 증가의 감소, 새끼 분만의 난관으로 인한 모체 사망, 새끼 분만으로 인한 모체독성, 새끼의 사망 증가 관찰됨",,,,,,,,,,,,,,,
803,Baricitinib,2등급,,"임부에 대한 안전성 미확립
동물실험에서 생식독성, 기형 유발 보고",,,,,,,,,,,,,,,
804,Ixekizumab,2등급,,"임부에 대한 안전성 미확립
동물실험에서 신생자 사망 보고",,,,,,,,,,,,,,,
805,Azilsartan medoxomil potassium,2등급,,"태아독성(신기능 감소, 양수과소증, 두개골 골화지연) 및 신생아 독성(신부전, 저혈압, 고칼륨혈증), 사망 유발 가능",,,,,,,,,,,,,,,
806,Alirocumab,2등급,,"임부에 대한 안전성 미확립
동물실험에서 산모독성, 새끼에게 약한 2차 면역반응이 나타남",,,,,,,,,,,,,,,
807,Evolocumab,2등급,,임부에 대한 안전성 미확립,,,,,,,,,,,,,,,
808,Besifovir dipivoxil maleate,2등급,,"임부에 대한 안전성 미확립
동물실험에서 착상 후 소실 증가, 태자 생존 수 감소, 심장 및 대혈관 기형, 태자 생장지연, 유산 증가, 출생자의 생존율 감소 보고",,,,,,,,,,,,,,,
809,Atezolizumab,2등급,,"임부에 대한 안전성 미확립
동물실험에서 태아에 대한 면역관련 거부 위험을 증가시켜 태아 사망을 초래 가능",,,,,,,,,,,,,,,
810,Carfilzomib,2등급,,"임부에 대한 안전성 미확립
동물실험에서 조기 흡수 및 착상 전 소실 증가, 태아 체중 감소 관찰됨",,,,,,,,,,,,,,,
811,Panobinostat lactate,2등급,,"임부에 대한 안전성 미확립
동물실험에서 배태자 독성 및 최기형성, 태아 기형발생률 증가 보고",,,,,,,,,,,,,,,
812,Ombitasvir+Paritaprevir+Ritonavir,2등급,,임부에 대한 안전성 미확립,,,,,,,,,,,,,,,
813,Sevoflurane,2등급,,"동물실험에서 발달 중인 뇌의 신경세포 자멸사 증가, 3시간 이상 사용될 경우 장기적 인지 기능저하 초래
사람에서 이러한 변화에 취약한 시기는 임신 후기부터 생후 첫 수개월 내 노출과 연관됨",,,,,,,,,,,,,,,
814,Ginkgo biloba leaf extract,2등급,,"(정제, 액제, 캡슐제) 임신 중 투여에 대한 충분한 사용경험 적음
(주사제) -",,,,,,,,,,,,,,,
815,Dihydrocodeine,2등급,,임부에 대한 안전성 미확립. 신생아 호흡억제 및 금단 증상 유발 가능.,,,,,,,,,,,,,,,
816,Hydrocodone,2등급,,임부에 대한 안전성 미확립. 신생아 호흡억제 및 금단 증상 유발 가능.,,,,,,,,,,,,,,,
817,Hydromorphone,2등급,,"동물실험에서 기형, 체중 및 출산율 저하 등 발생. 신생아 호흡억제 및 금단 증상 유발 가능.",,,,,,,,,,,,,,,
818,Oxycodone,2등급,,동물실험에서 기형 발생. 폐동맥판협착증의 위험증가와 관련. 신생아 호흡억제 및 금단 증상 유발 가능.,,,,,,,,,,,,,,,
819,Alfentanil,2등급,,임부에 대한 안전성 미확립. 신생아 호흡억제 및 금단 증상 유발 가능.,,,,,,,,,,,,,,,
820,Remifentanil,2등급,,임부에 대한 안전성 미확립. 신생아 호흡억제 및 금단 증상 유발 가능.,,,,,,,,,,,,,,,
821,Sufentanil,2등급,,임부에 대한 안전성 미확립. 신생아 호흡억제 및 금단 증상 유발 가능.,,,,,,,,,,,,,,,
822,Desflurane,2등급,,"동물실험에서 태자에게 유해하며 기형을 유발하는 결과 나타남. 농도에 따라 태아 우울증, 신생아의 일시적 각성 감소, 임신한 자궁의 이완, 지혈 지연이 나타날 수 있음.",,,,,,,,,,,,,,,
823,Etomidate,2등급,,임부에 대한 안전성 미확립. 수술 중 태반을 통과할 수 있음. ,,,,,,,,,,,,,,,
824,Ketamine,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
825,Thiopental,2등급,,-,,,,,,,,,,,,,,,
826,Chloral hydrate,2등급,,태반을 통과하여 태아장애의 가능성이 있음.,,,,,,,,,,,,,,,
827,Doxepin,2등급,,"동물실험(랫트)에서 기관형성기간 중에 투여 시 발생 독성(태아 구조적 이상 발생 증가, 태아 체중감소)이 관찰됨.",,,,,,,,,,,,,,,
828,Quazepam,2등급,,"임신 중 벤조디아제핀계 약물 투여 시 기형이 있는 태아 등 장애아 출산의 예가 유의하게 증가함. 분만 전에 계속 복용한 경우, 신생아 금단 증상(신경과민, 진전, 과긴장 등)이 나타날 수 있음. ",,,,,,,,,,,,,,,
829,Zolpidem,2등급,,"임신 말기 혹은 출산 동안의 투여 시, 신생아의 저체온증, 근육긴장저하, 잘 빨지 못하는 수유장애, 중증도의 호흡저하가 나타날 수 있음. 임신 후반기 동안 벤조디아제핀계 약물 및 벤조디아제핀 유사 약물을 만성적으로 투여 시 신생아 금단 증상 및 신체적 의존성의 위험이 있음.",,,,,,,,,,,,,,,
830,Gabapentin,2등급,,동물시험에서 생식독성이 나타남. 항전간제를 투여 받은 여성의 자녀에서 선천성 기형의 위험은 2-3배 증가함.,,,,,,,,,,,,,,,
831,Rufinamide,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
832,Isopropylantipyrine,2등급,,-,,,,,,,,,,,,,,,
833,Methylphenidate,2등급,,최대권장용량의 약 40배를 토끼에 투여 시 최기형성(태자척추피열 증가) 관찰됨.,,,,,,,,,,,,,,,
834,Donepezil,2등급,,동물실험에서 어린 새끼의 생존율과 사산율에 영향을 줌.,,,,,,,,,,,,,,,
835,Fampridine,2등급,,동물실험에서 생식독성이 확인됨. 모체 독성용량에서 태자와 차산자의 체중 및 생존 감소가 관찰됨.,,,,,,,,,,,,,,,
836,Galantamine,2등급,,"동물실험에서 태자의 흉골분절 이상, 골격변이, 늑골흔적의 증가, 발정주기 수의 감소가 나타남.",,,,,,,,,,,,,,,
837,Memantine,2등급,,동물실험에서 태자의 성장의 감소 위험 가능성이 나타남.,,,,,,,,,,,,,,,
838,Nalfurafine,2등급,,"동물실험(랫트)에서 태반통과, 생존태자수의 감소, 출산율의 저하 및 출생자 체중의 감소가 보고됨.",,,,,,,,,,,,,,,
839,Rivastigmine,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
840,Sulfamethoxazole+Trimethoprim,2등급,,동물실험에서 기형발생 보고. 임신 중 이 약을 투여 받은 환자의 아이에게 선천성 이상이 보고됨.,,,,,,,,,,,,,,,
841,Posaconazole,2등급,,동물실험에서 생식독성 관찰됨,,,,,,,,,,,,,,,
842,Caspofungin,2등급,,"동물실험에서 태자독성(골화부전, 경늑 발생빈도 증가 등)이 나타남. 임신 제1삼분기에 이 약의 사용을 피하는 것이 안전함.",,,,,,,,,,,,,,,
843,Micafungin,2등급,,"동물실험에서 내장이상(비정상적인 폐엽 형성, 좌심증, 하대정맥후뇨관, 기형우쇄골하동맥 등) 및 유산이 나타남. 임신 제1삼분기에 이 약의 사용을 피하는 것이 안전함.",,,,,,,,,,,,,,,
844,Cycloserine,2등급,,임부에 대한 안전성 미확립,,,,,,,,,,,,,,,
845,Delamanid,2등급,,동물실험에서 생식독성 관찰됨,,,,,,,,,,,,,,,
846,Rifampicin,2등급,,동물실험에서 기형발생 보고,,,,,,,,,,,,,,,
847,Isoniazid,2등급,,동물실험(마우스)에서 태자발육 장애가 보고,,,,,,,,,,,,,,,
848,Ethambutol,2등급,,임부에 대한 안전성 미확립,,,,,,,,,,,,,,,
849,Pyrazinamide,2등급,,임부에 대한 안전성 미확립,,,,,,,,,,,,,,,
850,Lamivudine,2등급,,동물실험에서 임신초기에 태자치사 나타남,,,,,,,,,,,,,,,
851,Adefovir,2등급,,"동물실험에서 배자독성, 태자기형 증가함",,,,,,,,,,,,,,,
852,Entecavir,2등급,,"동물실험에서 배태자 독성, 골화 감소가 관찰됨",,,,,,,,,,,,,,,
853,Atovaquone+Proguanil,2등급,,"임부에 대한 안전성 미확립. 동물실험에서 모체독성, 태아에 대한 이상반응이 관찰됨",,,,,,,,,,,,,,,
854,Cobicistat+Elvitegravir+Emtricitabine+Tenofovir alafenamide,2등급,,임부에 대한 안전성 미확립,,,,,,,,,,,,,,,
855,Cobicistat+Elvitegravir+Emtricitabine+Tenofovir disoproxil,2등급,,임부에 대한 안전성 미확립,,,,,,,,,,,,,,,
856,Dolutegravir,2등급,,임신 제1삼분기에는 투여를 피해야 함. 수정 전부터 이 약에 노출된 모체에서 난 신생아에서 신경관 결손증 유병률이 증가됨.,,,,,,,,,,,,,,,
857,Theophylline,2등급,,"동물실험에서 기형발생이 보고됨. 사람 태반을 통과하여 신생아에서 구토, 신경과민 유발 가능성.",,,,,,,,,,,,,,,
858,Levodropropizine,2등급,,-,,,,,,,,,,,,,,,
859,Procaterol,2등급,흡입제 포함,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
860,Bambuterol,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
861,Clenbuterol,2등급,,임부에 대한 안전성 미확립. 동물실험에서 임신 후기 투여 시 자궁근수축을 억제하여 분만 지연을 일으킴.,,,,,,,,,,,,,,,
862,Formoterol,2등급,,동물실험에서 주산기에 대량(6mg/kg/day 이상) 경구 투여 시 사산수의 증가 보고됨.,,,,,,,,,,,,,,,
863,Fenoterol,2등급,,동물실험에서 랫트의 태자골격이상 출현빈도의 증가가 보고됨.,,,,,,,,,,,,,,,
864,Salbutamol ,2등급,,임부에 대한 안전성 미확립. 동물실험에서 기형발생이 보고됨.,,,,,,,,,,,,,,,
865,Tiotropium,2등급,"흡입제, 흡입용캡슐제 포함","임부에 이 약을 투여한 임상자료는 제한적이므로, 예방적 조치로서 임신 중 이 약의 사용을 피하는 것이 권장됨.",,,,,,,,,,,,,,,
866,Isoproterenol,2등급,,"동물실험(마우스, 햄스터)에서 기형발생이 보고됨.",,,,,,,,,,,,,,,
867,Naloxone,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
868,Pirfenidone,2등급,,"임부에 대한 안전성 미확립. 동물실험에서 고용량(≥1000mg/kg/day)이 노출된 랫트에서 임신기간 연장과 출생률 저하, 토끼에서 유산 또는 조산이 나타남. 동물시험에서 피르페니돈 및 그 대사체는 태반을 통과하는 것으로 나타남.",,,,,,,,,,,,,,,
869,Pseudoephedrine,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
870,S-Amlodipine ,2등급,,인체에 대한 최대권장용량의 50배에 해당하는 용량의 이 약을 투여한 랫트에서 분만지연 및 연장 나타남. 동물실험 중 고용량에서 생식독성 나타남.,,,,,,,,,,,,,,,
871,Midodrine ,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
872,Calcium dobesilate,2등급,,임부에서의 사용 경험 제한적.,,,,,,,,,,,,,,,
873,Alteplase,2등급,,고용량의 비임상시험에서 추가적인 약리학적 활성으로 미숙태자 및/또는 배자독성 나타남.,,,,,,,,,,,,,,,
874,Tenecteplase,2등급,,동물실험에서 유산과 태반유실로 인한 것으로 생각되는 질출혈의 위험성이 높았음.,,,,,,,,,,,,,,,
875,Urokinase,2등급,,섬유소 용해 작용으로 인해 태반초기박리를 일으킬 수 있음.,,,,,,,,,,,,,,,
876,Streptokinase,2등급,,임신 초기 18주간은 출혈로 인상 유산 위험이 있음.,,,,,,,,,,,,,,,
877,Streptokinase/Streptodornase,2등급,,임부에 대한 안전성 미확립. 태아의 혈액에서 스트렙토키나제 특이성 항체가 발견됨.,,,,,,,,,,,,,,,
878,Argatroban,2등급,,임부에 대한 안전성 미확립. 이 약으로 인한 출혈 위험의 증가는 임신 중 치료에 위험을 미칠 것으로 예상됨.,,,,,,,,,,,,,,,
879,Dopamine ,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
880,Milrinone,2등급,,비임상실험에서 태자 및 출생 후 랫트의 동맥관을 용량 의존적으로 확장시키는 것이 증명됨.,,,,,,,,,,,,,,,
881,Pentoxifylline,2등급,,임부에 대한 충분한 사용 경험 없음.,,,,,,,,,,,,,,,
882,Ibudilast,2등급,,동물실험(랫트)에서 신생자의 발육지연 및 생후 4일 생존율저하 보고.,,,,,,,,,,,,,,,
883,Protirelin,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
884,Lanthanum carbonate,2등급,,동물시험에서 고용량 투여로 생식독성 발생. ,,,,,,,,,,,,,,,
885,Sevelamer ,2등급,,"임신한 랫트에서 지용성 비타민 D의 흡수 감소로 기관형성기의 태자 골형성 감소, 기관형성기의 임신한 토끼에서 MRHD의 2배 용량에서 초기 흡수의 발생 증가됨. ",,,,,,,,,,,,,,,
886,Alglucosidase α,2등급,,임부에서 적절한 자료 없음. 동물 시험에서 생식 독성이 나타남. 반드시 필요할 경우를 제외하고 임신 중 사용되어서는 안 됨.,,,,,,,,,,,,,,,
887,Rasburicase,2등급,,"임산부에 대한 임상적 자료 없음. 토끼에게서 사람 용량의 10, 50, 100배 용량을, 랫트에게 사람 용량의 250배 용량을 투여했을 때 최기형성 나타남. 유익성이 위험성 상회 시 사용.",,,,,,,,,,,,,,,
888,Miglitol ,2등급,,안전성 미확립. 동물시험에서 300mg/Kg 이상에서 모체 독성에 의한 이차적 유해작용이 발생하는 것으로 밝혀짐.,,,,,,,,,,,,,,,
889,Vasopressin,2등급,,"자궁수축 나타날 수 있음
동물실험에서 태자독성 및 기형발생 가능성 보고됨
고용량 투여는 자궁 내 혈액공급 장애 유발 가능",,,,,,,,,,,,,,,
890,Elcatonin,2등급,,"임부에 대한 안전성 미확립
랫트에서 태자의 체중증가 억제, 혈청 칼슘의 급격한 저하, 테타니양 증상의 발현 보고",,,,,,,,,,,,,,,
891,Liothyronine,2등급,,임부에 대한 안전성 미확립,,,,,,,,,,,,,,,
892,Thyrotropin alfa,2등급,,임부 신중투여,,,,,,,,,,,,,,,
893,Fenticonazole,2등급,질연질캡슐제 포함,"임부에 대한 안전성 미확립
질적용 후 임신한 랫트와 토끼에서 태반 통과함",,,,,,,,,,,,,,,
894,Dimethyl sulfoxide,2등급,외용액제 포함,토끼에 국소적용 시 기형유발,,,,,,,,,,,,,,,
895,Propiverine ,2등급,,임부에 대한 안전성 미확립,,,,,,,,,,,,,,,
896,Solifenacin ,2등급,,임부에 대한 안전성 미확립,,,,,,,,,,,,,,,
897,Silver sulfadiazine,2등급,크림제 포함,"임부에 대한 안전성 미확립
화상면적이 체표면의 20% 이상이거나 치료상 유익성이 위험성을 상회하는 경우에만 투여",,,,,,,,,,,,,,,
898,Mafenide acetate,2등급,"크림제, 외용산제 포함","임부에 대한 안전성 미확립
(크림제) 화상면적이 체표면의 20% 이상이거나 치료상 유익성이 위험성을 상회하는 경우에만 투여",,,,,,,,,,,,,,,
899,Clobetasol propionate,2등급,"로션제, 스프레이, 연고제, 외용액제, 크림제 포함","동물실험에서 강력한 코르티코스테로이드 피부도포로 인해 기형발생
임부에 대한 안전성 미확립
임부에게는 최소기간 동안 최소량을 사용해야 함",,,,,,,,,,,,,,,
900,Diflucortolone valerate,2등급,"로션제, 연고제, 크림제 포함","동물실험에서 국소도포로 인해 기형발생 보고
임부에 대한 안전성 미확립",,,,,,,,,,,,,,,
901,Fluocinonide,2등급,"겔제, 외용액제, 크림제 포함","랫트와 마우스에 피하투여 시 기형발생 보고
임부에 대한 안전성 미확립
임부에게 대량 또는 장기간에 걸친 사용 피할 것",,,,,,,,,,,,,,,
902,Desoximetasone,2등급,"겔제, 로션제, 연고제 포함","동물실험에서 강력한 코르티코스테로이드 피부도포로 기형발생
임부에 대한 안전성 미확립
임부에게 대량 또는 장기간에 걸친 광범위한 사용 피할 것",,,,,,,,,,,,,,,
903,Halcinonide,2등급,"연고제, 크림제 포함","동물실험에서 강력한 코르티코스테로이드 피부도포로 기형발생
임부에 대한 안전성 미확립
임부에게 대량 또는 장기간에 걸친 광범위한 사용 피할 것",,,,,,,,,,,,,,,
904,Diflorasone diacetate,2등급,크림제 포함,"동물실험에서 강력한 코르티코스테로이드 피부도포로 기형발생
임부에 대한 안전성 미확립
임부에게 대량 또는 장기간에 걸친 광범위한 사용 피할 것",,,,,,,,,,,,,,,
905,Clobetasone butyrate,2등급,"연고제, 크림제 포함",동물실험에서 국소도포로 인해 기형발생                                                                                                                                                                                                                                                             임신한 동물에 국소 코르티코스테로이드 투여 시 태자발달 이상 초래 가능                                                                                                                                                                                                                                                                임부에 대한 안전성 미확립                                                                                                                                                                                                                                                                임부에게는 최소기간 동안 최소량을 사용해야 함,,,,,,,,,,,,,,,
906,Prednicarbate,2등급,"로션제, 연고제, 외용액제, 크림제 포함","임부에 대한 안전성 미확립
임부에게 대량 또는 장기간에 걸친 광범위한 사용 피할 것",,,,,,,,,,,,,,,
907,Desonide,2등급,"로션제, 크림제 포함","동물실험에서 사람의 권장용량과 비슷한 양을 피부에 적용했을 때 기형발생
임부에 대한 안전성 미확립
임부에게 대량 또는 장기간에 걸친 광범위한 사용 피할 것",,,,,,,,,,,,,,,
908,Crotamiton,2등급,연고제 포함,"임부에 대한 안전성 미확립
임부에게 대량 또는 장기간에 걸쳐 광범위하게 사용하지 말 것",,,,,,,,,,,,,,,
909,Terbinafine,2등급,,임부에 대한 안전성 미확립,,,,,,,,,,,,,,,
910,Tioconazole,2등급,크림제 포함,랫트의 출산과 태자발달에 부정적 영향 보고,,,,,,,,,,,,,,,
911,Cadexomer iodine,2등급,연고제 포함,"흡수된 요오드는 태반장벽을 통과함
요오드는 태아·신생아 갑상선 기능에 영향을 미치거나 갑상선종 유발 가능",,,,,,,,,,,,,,,
912,Potassium iodide + Sodium iodide,2등급,점안제 포함,-,,,,,,,,,,,,,,,
913,Difluprednate,2등급,크림제 포함,"임부에 대한 안전성 미확립
임부에게 대량 또는 장기간에 걸친 광범위한 사용 피할 것",,,,,,,,,,,,,,,
914,Irsogladine,2등급,,"랫트에 8mg/kg/day 이상 경구 투여 시 출생자의 생존율 저하, 30mg/kg/day 투여 시 출생자 체중억제 나타남",,,,,,,,,,,,,,,
915,Lafutidine,2등급,,"동물실험 결과, 인체투여용량(10-20mg)의 약 200배 이상에서 침흘림, 탈모, 하복부 오염, 자발운동의 감소, 간대성 경련 관찰됨",,,,,,,,,,,,,,,
916,Nizatidine,2등급,,"토끼에게 인체용량의 300배 투여 시 유산, 생존 태자수 및 태자체중 감소가 나타남
토끼에게 20mg/kg 정맥투여 시 태자에서 심장확대, 대동맥궁의 협착, 피부부종이 나타났으며  50mg/kg 투여 시 태자에서 심실이상, 복부확장, 이분척추, 수두증, 심장확장이 나타남",,,,,,,,,,,,,,,
917,Roxatidine,2등급,,임부에 대한 안전성 미확립,,,,,,,,,,,,,,,
918,Magnesium carbonate + Citric acid,2등급,,자궁수축유발로 인한 조기분만 위험성,,,,,,,,,,,,,,,
919,Aprepitant,2등급,,임부에 대한 안전성 미확립,,,,,,,,,,,,,,,
920,Fosaprepitant,2등급,,임부에 대한 안전성 미확립,,,,,,,,,,,,,,,
921,Dimenhydrinate,2등급,,유사 화합물의 동물실험(랫트)에서 기형발생 보고,,,,,,,,,,,,,,,
922,Granisetron,2등급,패취제 포함,임부에 대한 안전성 미확립,,,,,,,,,,,,,,,
923,Ondansetron,2등급,,임부에 대한 안전성 미확립,,,,,,,,,,,,,,,
924,Palonosetron,2등급,,임부에 대한 안전성 미확립,,,,,,,,,,,,,,,
925,Palonosetron + Netupitant,1등급,,"동물실험(토끼)에서 일일 10mg/kg 이상 투여한 결과 사지 및 발의 위치기형, 흉골 융착, 폐부엽의 미발달 관찰됨",,,,,,,,,,,,,,,
926,Ramosetron,2등급,,"임부에 대한 안전성 미확립
토끼에서 125mg/kg/day를 경구 투여 시 골화지연 관찰됨.
랫트에서 300mg/kg/day를 경구 투여 시 분만지연, 사산자 증가, 체중증가억제 관찰됨",,,,,,,,,,,,,,,
927,Chenodeoxycholic acid + Ursodeoxycholic acid,1등급,,"임부 투여금기
동물실험에서 간독성의 증거 나타남 ",,,,,,,,,,,,,,,
928,Loperamide,2등급,,-,,,,,,,,,,,,,,,
929,Berberine,1등급,,임부 투여금기,,,,,,,,,,,,,,,
930,Bismuth subsalicylate + Calcium carbonate p.p.t.,2등급,,-,,,,,,,,,,,,,,,
931,Bisacodyl,2등급,좌제 포함,임부 투여금기,,,,,,,,,,,,,,,
932,Sodium picosulfate,2등급,,-,,,,,,,,,,,,,,,
933,Agiolax,2등급,,임부 신중투여,,,,,,,,,,,,,,,
934,Docusate,2등급,,-,,,,,,,,,,,,,,,
935,Glycerin,2등급,관장제 포함,임부 신중투여,,,,,,,,,,,,,,,
936,Liquid paraffin,2등급,,"반복적인 투여는 지용성 비타민, 경구용 약물의 흡수를 감소시킬 수 있음
만성적 사용 후 신생아에서 출혈성 질환과 저프로트롬빈혈증 발생함",,,,,,,,,,,,,,,
937,Metoclopramide,2등급,,임신말기 투여 시 신생아 추체외로증후군이 나타날 수 있음,,,,,,,,,,,,,,,
938,Pinaverium,2등급,,임부 투여금기,,,,,,,,,,,,,,,
939,Mebeverine,2등급,,임부 신중투여,,,,,,,,,,,,,,,
940,Balsalazide,2등급,,임부 투여금기,,,,,,,,,,,,,,,
941,Sodium phenylbutyrate,2등급,,임부에 대한 안전성 미확립,,,,,,,,,,,,,,,
942,Clevudine,2등급,,임부에 대한 안전성 미확립,,,,,,,,,,,,,,,
943,Lidocaine,2등급,,"태아 서맥 또는 빈맥, 호흡 저하 등 발생 가능성",,,,,,,,,,,,,,,
944,Mepivacaine,2등급,,임신 초기 기형발생 및 중기 이후 태아 서맥 발생 가능성,,,,,,,,,,,,,,,
945,Ropivacaine,2등급,,동물 실험에서 부작용 발생,,,,,,,,,,,,,,,
946,Procaine,2등급,,동물 실험에서 부작용 발생. 태아 서맥 발생 가능성,,,,,,,,,,,,,,,
947,Atracurium,2등급,,동물 실험에서 기형 보고,,,,,,,,,,,,,,,
948,Cisatracurium,2등급,,임부에 대한 안전성 미확립,,,,,,,,,,,,,,,
949,Baclofen,2등급,,"동물 실험에서 배꼴탈장, 흉골 분화 지연, 소두증 등 기형 발생",,,,,,,,,,,,,,,
950,Cyclobenzaprine,2등급,,사람과 동물 모두에서 기형 및 부작용 보고,,,,,,,,,,,,,,,
951,Dantrolene,2등급,,동물 실험에서 골격 기형 보고,,,,,,,,,,,,,,,
952,Methocarbamol,2등급,,임부에 대한 안전성 미확립. 동물 실험에서 기형 보고,,,,,,,,,,,,,,,
953,Suxamethonium,2등급,,"태아에게 호흡저하, 마비 등의 부작용 발생 가능성",,,,,,,,,,,,,,,
954,Tizanidine,2등급,,동물 실험에서 기형 및 독성 보고,,,,,,,,,,,,,,,
955,Tolperisone,2등급,,동물 실험에서 부작용 보고,,,,,,,,,,,,,,,
956,Atropine,2등급,점안제 포함,"(주사제) 동물 실험에서 기형 발생. 태아에서 빈맥 등 발생 가능성
(점안제) 점안으로도 전신 순환 가능. 동물 실험에서 기형 보고",,,,,,,,,,,,,,,
957,Oxybutynin,2등급,,"동물 실험에서 골격기형, 뇌수종, 소안구증, 심장기형 등 보고",,,,,,,,,,,,,,,
958,Tofisopam,2등급,,같은 계열의 약물에서 부작용 보고,,,,,,,,,,,,,,,
959,Magnesium sulfate,2등급(5일 이상 사용 시),,"장기간 사용 시 태아 저칼륨혈증, 골형성 저하, 골절 등 위험성",,,,,,,,,,,,,,,
960,Scopolamine hydrobromide,2등급,패취제 포함,태아에 대한 부작용 위험성. 동물 실험에서 기형 보고,,,,,,,,,,,,,,,
961,Trospium ,2등급,,동물 실험에서 태아 독성 보고,,,,,,,,,,,,,,,
962,Ethanol,2등급,,태아의 뇌 발달 저해 위험성. 태아 독성 및 기형 위험성,,,,,,,,,,,,,,,
963,Enviomycin,2등급,,"임부에 대한 안전성 미확립.
신생아에 제8뇌신경장애 가능성",,,,,,,,,,,,,,,
964,Rifabutin,2등급,,임부에 대한 안전성 미확립,,,,,,,,,,,,,,,
965,Prothionamide,2등급,,기형아 출산 보고,,,,,,,,,,,,,,,
966,Clofazimine,2등급,,"임부에 대한 안전성 미확립. 사람 태반을 통과하여 태아에게 피부착색 가능성. 동물실험에서 랫트의 착상수 감소, 태자 체중감소 및 사망률 증가와 마우스의 태자 사망률 증가 및 두개골 골화 지연 나타남",,,,,,,,,,,,,,,
967,Dapsone,2등급,,임부에 대한 안전성 미확립,,,,,,,,,,,,,,,
968,Tenofovir alafenamide,2등급,,임부에 대한 안전성 미확립,,,,,,,,,,,,,,,
