Drug Name,Category,Classification Level 1,Classification Level 2,Classification Level 3,,,,,,,,,,,,,,
mazindol,B3,Metabolism,Anorectic and weight reducing agents,,,,,,,,,,,,,,,
measles-mumps-rubella vaccine,B2,Vaccines,Live attenuated virus vaccines,,,,,,,,,,,,,,,
measles-mumps-rubella-varicella vaccine,B2,Vaccines,Live attenuated virus vaccines,,,,,,,,,,,,,,,
mebendazole,B3,Antimicrobials,Anthelmintics,,,,,,,,,,,,,,,
mebeverine,B2,Alimentary System,Antispasmodics,,,,,,,,,,,,,,,
mecasermin,B3,Endocrine System,Hormonal agents,,,,,,,,,,,,,,,
medroxyprogesterone (IM contraceptive dose),A,Contraceptive Agents,,,,,,,,,,,,,,,,
medroxyprogesterone (oral & SC high dose),D,Endocrine System,Progestogens (see also oral contraceptives),,,,,,,,,,,,,,,
medroxyprogesterone (oral and IM high dose),D,Antineoplastic Agents,Hormonal antineoplastic agents,,,,,,,,,,,,,,,
mefenamic acid,C,Musculoskeletal System,Non-steroidal anti-inflammatory drugs (NSAIDS),,,,,,,,,,,,,,,
mefloquine,B3,Antimicrobials,Antimalarials,,,,,,,,,,,,,,,
mefruside,C,Cardiovascular System,Diuretics,"Thiazides, related diuretics and loop diuretics",,,,,,,,,,,,,,
megestrol,D,Endocrine System,Progestogens (see also oral contraceptives),,,,,,,,,,,,,,,
melatonin,B3,Central Nervous System,Hypnotics and sedatives,,,,,,,,,,,,,,,
meloxicam,C,Musculoskeletal System,Non-steroidal anti-inflammatory drugs (NSAIDS),,,,,,,,,,,,,,,
melphalan,D,Antineoplastic Agents,Alkylating agents,,,,,,,,,,,,,,,
memantine,B2,Central Nervous System,,,,,,,,,,,,,,,,
meningococcal group B vaccine,B1,Vaccines,Killed vaccines,,,,,,,,,,,,,,,
meningococcal group C conjugate vaccine,B2,Vaccines,Killed vaccines,,,,,,,,,,,,,,,
"meningococcal serogroups A, C, W-135 and Y polysaccharide or conjugate vaccine",B1 or B2 depending on brand,Vaccines,Killed vaccines,,,,,,,,,,,,,,,
mepivacaine,A,Drugs Used in Anaesthesia,Local anaesthetics,,,,,,,,,,,,,,,
mepolizumab,B1,Respiratory System,,,,,,,,,,,,,,,,
meprobamate,C,Central Nervous System,Hypnotics and sedatives,,,,,,,,,,,,,,,
mercaptamine bitartrate,B3,Metabolism,Agents used for the treatment of metabolic disorders,,,,,,,,,,,,,,,
mercaptopurine,D,Antineoplastic Agents,Antimetabolites,,,,,,,,,,,,,,,
meropenem,B2,Antimicrobials,Antibiotics,,,,,,,,,,,,,,,
mesalazine,C,Alimentary System,Antidiarrhoeals,,,,,,,,,,,,,,,
mesna,B1,Antineoplastic Agents,Non-cytotoxic supportive therapy,,,,,,,,,,,,,,,
mesterolone,X,Endocrine System,Androgens and anabolic steroids,,,,,,,,,,,,,,,
mestranol,B3,Endocrine System,Oestrogens (see also oral contraceptives),,,,,,,,,,,,,,,
metaraminol,C,Cardiovascular System,Adrenergic stimulants,,,,,,,,,,,,,,,
metformin,C,Endocrine System,Hypoglycaemic agents,,,,,,,,,,,,,,,
methacycline,D,Antimicrobials,Antibiotics,Tetracyclines,,,,,,,,,,,,,,
methadone,C,Agents used in dependency states,,,,,,,,,,,,,,,,
methadone,C,Central Nervous System,Analgesics and Antipyretics (see also non-steroidal anti-inflammatory agents),Opioid analgesics,,,,,,,,,,,,,,
methdilazine,B2,Allergy and Immune System,Antihistamines,,,,,,,,,,,,,,,
methenamine,A,Genitourinary System,Urinary antiseptics,,,,,,,,,,,,,,,
methenolone,D,Endocrine System,Androgens and anabolic steroids,,,,,,,,,,,,,,,
methocarbamol,B2,Musculoskeletal System,Muscle relaxants,,,,,,,,,,,,,,,
methohexitone,B2,Drugs Used in Anaesthesia,General anaesthetics,,,,,,,,,,,,,,,
methotrexate,D,Antineoplastic Agents,Antimetabolites,,,,,,,,,,,,,,,
methoxsalen,B2,Drugs used in Dermatology,Topical,,,,,,,,,,,,,,,
methoxsalen (ECP extracorporeal photopheresis),D,Allergy and Immune System,,,,,,,,,,,,,,,,
methoxy polyethylene glycol-epoetin beta,B3,Blood and Haemopoietic System,Haemopoietic agents,,,,,,,,,,,,,,,
methoxyflurane,C,Drugs Used in Anaesthesia,General anaesthetics,,,,,,,,,,,,,,,
methsuximide,D,Central Nervous System,Anticonvulsants/antiepileptics,,,,,,,,,,,,,,,
methyclothiazide,C,Cardiovascular System,Diuretics,"Thiazides, related diuretics and loop diuretics",,,,,,,,,,,,,,
methyl aminolevulinate,B2,Antineoplastic Agents,,,,,,,,,,,,,,,,
methyldopa,A,Cardiovascular System,Antihypertensives,,,,,,,,,,,,,,,
methylene blue,D,Blood and Haemopoietic System,,,,,,,,,,,,,,,,
methylnaltrexone,B1,Central Nervous System,,,,,,,,,,,,,,,,
methylphenidate,D,Central Nervous System,CNS stimulants,,,,,,,,,,,,,,,
methylphenobarbital,D,Central Nervous System,Anticonvulsants/antiepileptics,,,,,,,,,,,,,,,
methylphenobarbitone (methylphenobarbital),D,Central Nervous System,Anticonvulsants/antiepileptics,,,,,,,,,,,,,,,
methylprednisolone,A,Endocrine System,Corticosteroids,Systemic,,,,,,,,,,,,,,
methylprednisolone aceponate,C,Endocrine System,Corticosteroids,Topical,,,,,,,,,,,,,,
methyltestosterone,D,Endocrine System,Androgens and anabolic steroids,,,,,,,,,,,,,,,
methysergide,C,Cardiovascular System,Antimigraine preparations,,,,,,,,,,,,,,,
metoclopramide,A,Central Nervous System,"Antiemetics, antinauseants",,,,,,,,,,,,,,,
metolazone,C,Cardiovascular System,Diuretics,"Thiazides, related diuretics and loop diuretics",,,,,,,,,,,,,,
metoprolol,C,Cardiovascular System,Beta-adrenergic blocking agents,,,,,,,,,,,,,,,
metronidazole,B2,Antimicrobials,Antibiotics,,,,,,,,,,,,,,,
metyrapone,B2,Diagnostic Agents,Pituitary-adrenal response test,,,,,,,,,,,,,,,
mexiletine,B1,Cardiovascular System,Antiarrhythmics,,,,,,,,,,,,,,,
mezlocillin,B1,Antimicrobials,Antibiotics,Penicillins,,,,,,,,,,,,,,
mianserin,B2,Central Nervous System,Antidepressants,Tetracyclic antidepressants,,,,,,,,,,,,,,
micafungin,B3,Antimicrobials,Antibiotics,,,,,,,,,,,,,,,
miconazole,A,Drugs used in Dermatology,"Topical antifungals, antiseptics (see also antifungal agents)",,,,,,,,,,,,,,,
miconazole,A,Genitourinary System,Topical vaginal medication,,,,,,,,,,,,,,,
midazolam,C,Central Nervous System,Benzodiazepines,,,,,,,,,,,,,,,
midodrine hydrochloride,C,Cardiovascular System,,,,,,,,,,,,,,,,
midostaurin,D,Antineoplastic Agents,Tyrosine kinase inhibitors,,,,,,,,,,,,,,,
migalastat hydrochloride,B3,Alimentary System,,,,,,,,,,,,,,,,
miglitol,B3,Endocrine System,Hypoglycaemic agents,,,,,,,,,,,,,,,
miglustat,D,Metabolism,Agents used for the treatment of metabolic disorders,,,,,,,,,,,,,,,
milnacipran,B3,Central Nervous System,Antidepressants,,,,,,,,,,,,,,,
milrinone,B3,Cardiovascular System,Cardiac inotropic agents,,,,,,,,,,,,,,,
minocycline,D,Antimicrobials,Antibiotics,Tetracyclines,,,,,,,,,,,,,,
minoxidil,C,Cardiovascular System,Antihypertensives,,,,,,,,,,,,,,,
mirabegron,B3,Genitourinary System,Bladder function disorders,,,,,,,,,,,,,,,
mirtazapine,B3,Central Nervous System,Antidepressants,,,,,,,,,,,,,,,
misoprostol,X,Alimentary System,"Hyperacidity, reflux, ulcers",,,,,,,,,,,,,,,
mitomycin,D,Antineoplastic Agents,Antibiotic cytotoxic agents,,,,,,,,,,,,,,,
mitozantrone,D,Antineoplastic Agents,Antibiotic cytotoxic agents,,,,,,,,,,,,,,,
mivacurium,B2,Drugs Used in Anaesthesia,Neuromuscular blocking agents,,,,,,,,,,,,,,,
moclobemide,B3,Central Nervous System,Antidepressants,,,,,,,,,,,,,,,
modafinil,D,Central Nervous System,CNS stimulants,,,,,,,,,,,,,,,
mogamulizumab,C,Antineoplastic Agents,Monoclonal antibodies,,,,,,,,,,,,,,,
molgramostim,B3,Blood and Haemopoietic System,Haemopoietic agents,,,,,,,,,,,,,,,
mometasone,B3,Endocrine System,Corticosteroids,Topical,,,,,,,,,,,,,,
montelukast,B1,Respiratory System,,,,,,,,,,,,,,,,
moroctocog alfa (factor VIII - rch),B2,Cardiovascular System,Haemostatic agents,,,,,,,,,,,,,,,
morphine,C,Central Nervous System,Analgesics and Antipyretics (see also non-steroidal anti-inflammatory agents),Opioid analgesics,,,,,,,,,,,,,,
moxifloxacin,B3,Antimicrobials,Antibiotics,Quinolones,,,,,,,,,,,,,,
moxonidine,B3,Cardiovascular System,Antihypertensives,,,,,,,,,,,,,,,
"multicomponent meningococcal group B vaccine (recombinant, adsorbed)",B1,Vaccines,Killed vaccines,,,,,,,,,,,,,,,
mupirocin,B1,Antimicrobials,Antibiotics,,,,,,,,,,,,,,,
mustine,D,Antineoplastic Agents,Alkylating agents,,,,,,,,,,,,,,,
mycophenolate mofetil,D,Allergy and Immune System,Immunomodifiers,,,,,,,,,,,,,,,
mycophenolic acid,D,Allergy and Immune System,Immunomodifiers,,,,,,,,,,,,,,,
nabumetone,C,Musculoskeletal System,Non-steroidal anti-inflammatory drugs (NSAIDS),,,,,,,,,,,,,,,
nadroparin,C,Cardiovascular System,Anticoagulants and thrombolytic agents,,,,,,,,,,,,,,,
nafarelin,D,Endocrine System,Pituitary hormones,,,,,,,,,,,,,,,
nalidixic acid,A,Antimicrobials,Antibiotics,,,,,,,,,,,,,,,
naloxone,B1,"Detoxifying Agents, Antidotes",,,,,,,,,,,,,,,,
naltrexone,B3,Agents used in dependency states,,,,,,,,,,,,,,,,
nandrolone,D,Endocrine System,Androgens and anabolic steroids,,,,,,,,,,,,,,,
naproxen,C,Musculoskeletal System,Non-steroidal anti-inflammatory drugs (NSAIDS),,,,,,,,,,,,,,,
naratriptan,B3,Cardiovascular System,Antimigraine preparations,,,,,,,,,,,,,,,
natalizumab,C,Allergy and Immune System,Immunomodifiers,,,,,,,,,,,,,,,
nateglinide,C,Endocrine System,Hypoglycaemic agents,,,,,,,,,,,,,,,
nebivolol,C,Cardiovascular System,Beta-adrenergic blocking agents,,,,,,,,,,,,,,,
nedocromil,B1,Respiratory System,Inhalational agents,Preventative aerosols and inhalations,,,,,,,,,,,,,,
nefazodone,B3,Central Nervous System,Antidepressants,,,,,,,,,,,,,,,
nelfinavir,B2,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
neomycin,D,Antimicrobials,Antibiotics,Aminoglycosides,,,,,,,,,,,,,,
neostigmine,B2,Drugs Used in Myasthenia Gravis,,,,,,,,,,,,,,,,
nepafenac,C,Musculoskeletal System,Non-steroidal anti-inflammatory drugs (NSAIDS),,,,,,,,,,,,,,,
neratinib,D,Antineoplastic Agents,,,,,,,,,,,,,,,,
neratinib maleate,D,Antineoplastic Agents,,,,,,,,,,,,,,,,
netilmicin,D,Antimicrobials,Antibiotics,Aminoglycosides,,,,,,,,,,,,,,
netupitant / palonosetron,D,Central Nervous System,"Antiemetics, antinauseants",,,,,,,,,,,,,,,
nevirapine,B3,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
nicardipine,C,Cardiovascular System,Antihypertensives,Calcium channel blockers,,,,,,,,,,,,,,
nicorandil,B3,Cardiovascular System,Antiangina agents,,,,,,,,,,,,,,,
nicotine,D,Agents used in dependency states,,,,,,,,,,,,,,,,
nicotinic acid,B2,Cardiovascular System,Hypolipidaemic agents,,,,,,,,,,,,,,,
nicotinic acid,B2,Cardiovascular System,Vasodilators,,,,,,,,,,,,,,,
nicotinic acid,B2,Vitamins,,,,,,,,,,,,,,,,
nicotinyl alcohol,B1,Cardiovascular System,Vasodilators,,,,,,,,,,,,,,,
nifedipine,C,Cardiovascular System,Antihypertensives,Calcium channel blockers,,,,,,,,,,,,,,
nilotinib,D,Antineoplastic Agents,Tyrosine kinase inhibitors,,,,,,,,,,,,,,,
nimodipine,C,Cardiovascular System,Antihypertensives,Calcium channel blockers,,,,,,,,,,,,,,
nintedanib esilate,D,Antineoplastic Agents,Tyrosine kinase inhibitors,,,,,,,,,,,,,,,
niraparib,D,Antineoplastic Agents,,,,,,,,,,,,,,,,
nisoldipine,C,Cardiovascular System,Antihypertensives,Calcium channel blockers,,,,,,,,,,,,,,
nitisinone,B3,Metabolism,Agents used for the treatment of metabolic disorders,,,,,,,,,,,,,,,
nitrazepam,C,Central Nervous System,Benzodiazepines,,,,,,,,,,,,,,,
nitric oxide,B2,Cardiovascular System,Vasodilators,,,,,,,,,,,,,,,
nitrofurantoin (short term therapy),A,Antimicrobials,Antibiotics,,,,,,,,,,,,,,,
nitrous oxide,A,Drugs Used in Anaesthesia,General anaesthetics,,,,,,,,,,,,,,,
nivolumab,D,Antineoplastic Agents,Monoclonal antibodies,,,,,,,,,,,,,,,
nizatidine,B3,Alimentary System,"Hyperacidity, reflux, ulcers",,,,,,,,,,,,,,,
nomegestrol with estradiol,B3,Contraceptive Agents,,,,,,,,,,,,,,,,
nonacog alfa (rch),B2,Cardiovascular System,Haemostatic agents,,,,,,,,,,,,,,,
nonacog gamma (rch),B2,Cardiovascular System,Haemostatic agents,,,,,,,,,,,,,,,
nonoxinol 9,A,Contraceptive Agents,Vaginal spermicides,,,,,,,,,,,,,,,
norelgestromin with ethinylestradiol,B3,Contraceptive Agents,,,,,,,,,,,,,,,,
norethisterone,D,Endocrine System,Progestogens (see also oral contraceptives),,,,,,,,,,,,,,,
norfloxacin,B3,Antimicrobials,Antibiotics,Quinolones,,,,,,,,,,,,,,
nortriptyline,C,Central Nervous System,Antidepressants,Tricyclic antidepressants,,,,,,,,,,,,,,
nusinersen,B1,Musculoskeletal System,,,,,,,,,,,,,,,,
nystatin,A,Antimicrobials,Antifungal agents (see also topical antifungals),,,,,,,,,,,,,,,
nystatin,A,Genitourinary System,Topical vaginal medication,,,,,,,,,,,,,,,
obeticholic acid,B1,Alimentary System,,,,,,,,,,,,,,,,
obinutuzumab,C,Antineoplastic Agents,Monoclonal antibodies,,,,,,,,,,,,,,,
ocrelizumab,C,Allergy and Immune System,Immunomodifiers,,,,,,,,,,,,,,,
ocriplasmin,B2,Ophthalmic Drugs,,,,,,,,,,,,,,,,
octocog alfa (factor VIII - rch),B2,Cardiovascular System,Haemostatic agents,,,,,,,,,,,,,,,
octoxinol,A,Contraceptive Agents,Vaginal spermicides,,,,,,,,,,,,,,,
octreotide,C,Endocrine System,Pituitary hormones,,,,,,,,,,,,,,,
oestrone,B1,Endocrine System,Oestrogens (see also oral contraceptives),,,,,,,,,,,,,,,
ofatumumab (rmc),C,Antineoplastic Agents,Monoclonal antibodies,,,,,,,,,,,,,,,
ofloxacin,B3,Antimicrobials,Antibiotics,Quinolones,,,,,,,,,,,,,,
olanzapine,C,Central Nervous System,Antipsychotic drugs,,,,,,,,,,,,,,,
olaparib,D,Antineoplastic Agents,,,,,,,,,,,,,,,,
olmesartan,D,Cardiovascular System,Antihypertensives,Angiotensin II receptor antagonists and renin inhibitors,,,,,,,,,,,,,,
olodaterol (olodaterol hydrochloride),B3,Respiratory System,Inhalational agents,Bronchospasm relaxants,,,,,,,,,,,,,,
olodaterol / tiotropium bromide,B3,Respiratory System,Inhalational agents,,,,,,,,,,,,,,,
olopatadine,B1,Ophthalmic Drugs,,,,,,,,,,,,,,,,
olsalazine,C,Alimentary System,Antidiarrhoeals,,,,,,,,,,,,,,,
omalizumab,B1,Respiratory System,,,,,,,,,,,,,,,,
omega-3-acid ethyl esters 90,B1,Cardiovascular System,Hypolipidaemic agents,,,,,,,,,,,,,,,
omeprazole,B3,Alimentary System,"Hyperacidity, reflux, ulcers",,,,,,,,,,,,,,,
onasemnogene abeparvovec,B2,Musculoskeletal System,,,,,,,,,,,,,,,,
ondansetron,B1,Central Nervous System,"Antiemetics, antinauseants",,,,,,,,,,,,,,,
opicapone,B2,Central Nervous System,Antiparkinson agents,,,,,,,,,,,,,,,
opium alkaloids and derivatives,A,Respiratory System,Antitussives,,,,,,,,,,,,,,,
"oral contraceptives, combined",B3,Contraceptive Agents,Oral contraceptives,,,,,,,,,,,,,,,
orciprenaline,A,Cardiovascular System,Adrenergic stimulants,,,,,,,,,,,,,,,
orciprenaline,A,Respiratory System,Inhalational agents,Bronchospasm relaxants,,,,,,,,,,,,,,
orlistat,B1,Metabolism,Anorectic and weight reducing agents,,,,,,,,,,,,,,,
ornipressin,B3,Cardiovascular System,Haemostatic agents,,,,,,,,,,,,,,,
orphenadrine,B2,Musculoskeletal System,Muscle relaxants,,,,,,,,,,,,,,,
oseltamivir,B1,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
osimertinib,D,Antineoplastic Agents,Tyrosine kinase inhibitors,,,,,,,,,,,,,,,
oxaliplatin,D,Antineoplastic Agents,,,,,,,,,,,,,,,,
oxandrolone,D,Endocrine System,Androgens and anabolic steroids,,,,,,,,,,,,,,,
oxazepam,C,Central Nervous System,Benzodiazepines,,,,,,,,,,,,,,,
oxcarbazepine,D,Central Nervous System,Anticonvulsants/antiepileptics,,,,,,,,,,,,,,,
oxpentifylline (pentoxifylline),B1,Cardiovascular System,,,,,,,,,,,,,,,,
oxprenolol,C,Cardiovascular System,Beta-adrenergic blocking agents,,,,,,,,,,,,,,,
oxybuprocaine,D,Ophthalmic Drugs,,,,,,,,,,,,,,,,
oxybutynin,B1,Genitourinary System,Bladder function disorders,,,,,,,,,,,,,,,
oxycodone,C,Central Nervous System,Analgesics and Antipyretics (see also non-steroidal anti-inflammatory agents),Opioid analgesics,,,,,,,,,,,,,,
oxycodone / naloxone,C,Central Nervous System,Analgesics and Antipyretics (see also non-steroidal and anti-inflammatory agents),Opioid analgesics,,,,,,,,,,,,,,
oxymetholone,D,Endocrine System,Androgens and anabolic steroids,,,,,,,,,,,,,,,
oxyquinoline sulfate,A,Drugs used in Dermatology,"Topical antifungals, antiseptics (see also antifungal agents)",,,,,,,,,,,,,,,
oxytetracycline,D,Antimicrobials,Antibiotics,Tetracyclines,,,,,,,,,,,,,,
oxytocin,A,Genitourinary System,Agents acting on the uterus,,,,,,,,,,,,,,,
ozanimod,D,Allergy and Immune System,,,,,,,,,,,,,,,,
paclitaxel,D,Antineoplastic Agents,Antimetabolites,,,,,,,,,,,,,,,
palbociclib,D,Antineoplastic Agents,,,,,,,,,,,,,,,,
palifermin,B3,Antineoplastic Agents,Non-cytotoxic supportive therapy,,,,,,,,,,,,,,,
paliperidone,C,Central Nervous System,Antipsychotic drugs,,,,,,,,,,,,,,,
palonosetron,B1,Central Nervous System,"Antiemetics, antinauseants",,,,,,,,,,,,,,,
pamidronate,B3,Endocrine System,Agents affecting calcium and bone metabolism,Bisphosphonates,,,,,,,,,,,,,,
pancuronium,B2,Drugs Used in Anaesthesia,Neuromuscular blocking agents,,,,,,,,,,,,,,,
panitumumab,C,Antineoplastic Agents,Monoclonal antibodies,,,,,,,,,,,,,,,
panobinostat,D,Antineoplastic Agents,,,,,,,,,,,,,,,,
pantoprazole,B3,Alimentary System,"Hyperacidity, reflux, ulcers",,,,,,,,,,,,,,,
papaveretum,C,Central Nervous System,Analgesics and Antipyretics (see also non-steroidal anti-inflammatory agents),Opioid analgesics,,,,,,,,,,,,,,
papaverine,B3,Cardiovascular System,Vasodilators,,,,,,,,,,,,,,,
papaverine,B3,Cholinergic and Anticholinergic Agents,,,,,,,,,,,,,,,,
paracetamol,A,Central Nervous System,Analgesics and Antipyretics (see also non-steroidal anti-inflammatory agents),,,,,,,,,,,,,,,
paracetomol / tramadol,C,Central Nervous System,Analgesics and Antipyretics (see also non-steroidal and anti-inflammatory agents),,,,,,,,,,,,,,,
paraldehyde,D,Central Nervous System,Hypnotics and sedatives,,,,,,,,,,,,,,,
parecoxib,C,Musculoskeletal System,Non-steroidal anti-inflammatory drugs (NSAIDS),,,,,,,,,,,,,,,
paricalcitol,C,Endocrine System,Agents affecting calcium and bone metabolism,,,,,,,,,,,,,,,
paritaprevir / ritonavir / ombitasvir,B3,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
paritaprevir / ritonavir / ombitasvir with ribavirin,X,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
paritaprevir/ritonavir/ombitasvir/dasabuvir,B3,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
paritaprevir/ritonavir/ombitasvir/dasabuvir/ribavirin,X,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
paroxetine,D,Central Nervous System,Antidepressants,Selective serotonin reuptake inhibitors (SSRIs),,,,,,,,,,,,,,
pasireotide diaspartate,B3,Endocrine System,Pituitary hormones,,,,,,,,,,,,,,,
pasireotide embonate,B3,Endocrine System,Pituitary hormones,,,,,,,,,,,,,,,
patiromer (as sorbitex calcium),B1,Cardiovascular System,,,,,,,,,,,,,,,,
pazopanib,D,Antineoplastic Agents,Tyrosine kinase inhibitors,,,,,,,,,,,,,,,
pegaspargase,D,Antineoplastic Agents,Antimetabolites,,,,,,,,,,,,,,,
pegfilgrastim,B3,Blood and Haemopoietic System,Haemopoietic agents,,,,,,,,,,,,,,,
peginterferon alfa-2a,B3,Allergy and Immune System,Immunomodifiers,,,,,,,,,,,,,,,
peginterferon alfa-2b,B3,Allergy and Immune System,Immunomodifiers,,,,,,,,,,,,,,,
peginterferon beta-1a (rch),D,Allergy and Immune System,Immunomodifiers,,,,,,,,,,,,,,,
pegvisomant,B3,Endocrine System,Pituitary inhibitors,,,,,,,,,,,,,,,
pembrolizumab,D,Antineoplastic Agents,Monoclonal antibodies,,,,,,,,,,,,,,,
pemetrexed,D,Antineoplastic Agents,Antimetabolites,,,,,,,,,,,,,,,
penciclovir,B1,Drugs used in Dermatology,Topical antiviral,,,,,,,,,,,,,,,
penicillamine,D,"Detoxifying Agents, Antidotes",,,,,,,,,,,,,,,,
penicillamine,D,Musculoskeletal System,Antirheumatoid agents,,,,,,,,,,,,,,,
pentamidine,B3,Antimicrobials,Antibiotics,,,,,,,,,,,,,,,
pentastarch,B3,Cardiovascular System,,,,,,,,,,,,,,,,
pentazocine,C,Central Nervous System,Analgesics and Antipyretics (see also non-steroidal anti-inflammatory agents),Opioid analgesics,,,,,,,,,,,,,,
pentobarbitone,C,Central Nervous System,Hypnotics and sedatives,Barbiturates,,,,,,,,,,,,,,
pentosan polysulfate sodium,B1,Genitourinary System,Bladder function disorders,,,,,,,,,,,,,,,
pentoxifylline,B1,Cardiovascular System,,,,,,,,,,,,,,,,
peramivir,B3,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
perampanel hemisesquihydrate,B3,Central Nervous System,Anticonvulsants/antiepileptics,,,,,,,,,,,,,,,
perflutren,B3,Diagnostic Agents,Radiographic agents,,,,,,,,,,,,,,,
pergolide,C,Central Nervous System,Antiparkinson agents,,,,,,,,,,,,,,,
perhexiline,B2,Cardiovascular System,Antiangina agents,,,,,,,,,,,,,,,
periciazine,C,Central Nervous System,Antipsychotic drugs,Phenothiazines,,,,,,,,,,,,,,
perindopril,D,Cardiovascular System,Antihypertensives,Angiotensin converting enzyme (ACE) inhibitors,,,,,,,,,,,,,,
permethrin,B2,Drugs used in Dermatology,Topical antiparasitics,,,,,,,,,,,,,,,
perphenazine,C,Central Nervous System,Antipsychotic drugs,Phenothiazines,,,,,,,,,,,,,,
pertuzumab,D,Antineoplastic Agents,Monoclonal antibodies,,,,,,,,,,,,,,,
pethidine,C,Central Nervous System,Analgesics and Antipyretics (see also non-steroidal anti-inflammatory agents),Opioid analgesics,,,,,,,,,,,,,,
phenelzine,B3,Central Nervous System,Antidepressants,Monoamine oxidase inhibitors,,,,,,,,,,,,,,
phenindione,D,Cardiovascular System,Anticoagulants and thrombolytic agents,,,,,,,,,,,,,,,
pheniramine,A,Allergy and Immune System,Antihistamines,,,,,,,,,,,,,,,
phenobarbital,D,Central Nervous System,Anticonvulsants/antiepileptics,,,,,,,,,,,,,,,
phenobarbitone (phenobarbital),D,Central Nervous System,Anticonvulsants/antiepileptics,,,,,,,,,,,,,,,
phenolphthalein,B2,Alimentary System,Laxatives,,,,,,,,,,,,,,,
phenoperidine,C,Central Nervous System,Analgesics and Antipyretics (see also non-steroidal anti-inflammatory agents),Opioid analgesics,,,,,,,,,,,,,,
phenoxybenzamine,B2,Cardiovascular System,Vasodilators,,,,,,,,,,,,,,,
phenoxymethylpenicillin,A,Antimicrobials,Antibiotics,Penicillins,,,,,,,,,,,,,,
phensuximide,D,Central Nervous System,Anticonvulsants/antiepileptics,,,,,,,,,,,,,,,
phentermine,B2,Metabolism,Anorectic and weight reducing agents,,,,,,,,,,,,,,,
phentolamine,B1,Cardiovascular System,Vasodilators,,,,,,,,,,,,,,,
phenylbutazone,C,Musculoskeletal System,Non-steroidal anti-inflammatory drugs (NSAIDS),,,,,,,,,,,,,,,
phenylephrine,B2,Cardiovascular System,Adrenergic stimulants,,,,,,,,,,,,,,,
phenylephrine,B2,Respiratory System,Decongestants,,,,,,,,,,,,,,,
phenylpropanolamine,B2,Cardiovascular System,Adrenergic stimulants,,,,,,,,,,,,,,,
phenylpropanolamine,B2,Respiratory System,Decongestants,,,,,,,,,,,,,,,
phenytoin sodium,D,Central Nervous System,Anticonvulsants/antiepileptics,,,,,,,,,,,,,,,
pholcodine,A,Respiratory System,Antitussives,,,,,,,,,,,,,,,
physostigmine,C,Musculoskeletal System,Muscle relaxants,,,,,,,,,,,,,,,
pilocarpine,B3,Ophthalmic Drugs,,,,,,,,,,,,,,,,
pimecrolimus,B3,Drugs used in Dermatology,Topical,,,,,,,,,,,,,,,
pimozide,C,Central Nervous System,Antipsychotic drugs,,,,,,,,,,,,,,,
pindolol,C,Cardiovascular System,Beta-adrenergic blocking agents,,,,,,,,,,,,,,,
pioglitazone,B3,Endocrine System,Hypoglycaemic agents,,,,,,,,,,,,,,,
pipecuronium,C,Drugs Used in Anaesthesia,Neuromuscular blocking agents,,,,,,,,,,,,,,,
piperacillin,B1,Antimicrobials,Antibiotics,Penicillins,,,,,,,,,,,,,,
piperacillin with tazobactam,B1,Antimicrobials,Antibiotics,Penicillins,,,,,,,,,,,,,,
piperazine oestrone sulfate (estropipate),B1,Endocrine System,Oestrogens (see also oral contraceptives),,,,,,,,,,,,,,,
piperonyl butoxide,B3,Drugs used in Dermatology,Topical antiparasitics,,,,,,,,,,,,,,,
pirfenidone,B3,Respiratory System,,,,,,,,,,,,,,,,
piroxicam,C,Musculoskeletal System,Non-steroidal anti-inflammatory drugs (NSAIDS),,,,,,,,,,,,,,,
pitavastatin,D,Cardiovascular System,Hypolipidaemic agents,,,,,,,,,,,,,,,
pizotifen,B1,Cardiovascular System,Antimigraine preparations,,,,,,,,,,,,,,,
plerixafor,D,Blood and Haemopoietic System,Haemopoietic agents,,,,,,,,,,,,,,,
plitidepsin,D,Antineoplastic Agents,,,,,,,,,,,,,,,,
"pneumococcal vaccine, 23-valent polysaccharide or 10- or 13-valent conjugate",B2,Vaccines,Killed vaccines,,,,,,,,,,,,,,,
podophyllotoxin,D,Drugs used in Dermatology,Topical,Antimitotic agent,,,,,,,,,,,,,,
polatuzumab vedotin,D,Antineoplastic Agents,,,,,,,,,,,,,,,,
poliomyelitis vaccine (injection),B2,Vaccines,Killed vaccines,,,,,,,,,,,,,,,
poliomyelitis vaccine (oral),A,Vaccines,Live attenuated virus vaccines,,,,,,,,,,,,,,,
pomalidomide,X,Allergy and Immune System,Immunomodifiers,,,,,,,,,,,,,,,
ponatinib (as hydrochloride),D,Antineoplastic Agents,Tyrosine kinase inhibitors,,,,,,,,,,,,,,,
posaconazole,B3,Antimicrobials,Antifungal agents (see also topical antifungals),,,,,,,,,,,,,,,
